sep=|
Step|Time[ms]|homGroupTrue|homGroupFalse|agreeTrue|hetGroup|voteFalse|agreeFalse|voteTrue
0|0|10|10|0|0|34|0|66
1|0,0007240653|10|9|0|0|34|0|66
2|0,000738259|10|8|0|0|34|0|66
3|0,001013846|10|7|0|0|34|0|66
4|0,0020046591|10|6|0|0|34|0|66
5|0,0038114509|10|6|0|0|34|0|66
6|0,0047283318|9|6|0|0|34|0|66
7|0,0069305122|8|6|2|1|34|0|66
8|0,0069968471|8|5|2|1|34|0|66
9|0,0085310172|8|5|3|1|34|0|66
10|0,0090813458|7|5|3|1|34|0|66
11|0,009219627|7|5|3|1|34|2|66
12|0,0094470971|7|4|3|1|34|2|66
13|0,0120092578|6|4|4|2|34|2|66
14|0,0142936759|6|3|4|2|34|2|66
15|0,0144868762|6|3|4|2|34|2|66
16|0,0147583669|6|3|4|2|34|6|66
17|0,015487357|5|3|4|2|34|6|66
18|0,0160280622|5|3|4|2|34|6|66
19|0,016115809|5|3|5|2|34|6|66
20|0,0164894363|5|3|5|2|34|6|66
21|0,0168213589|5|3|5|2|34|6|66
22|0,0170184475|5|3|5|2|34|6|66
23|0,0171359862|5|2|6|3|34|6|66
24|0,0175540522|5|2|6|3|34|6|66
25|0,0185585569|5|2|6|3|34|6|66
26|0,018735342|4|2|10|4|34|6|66
27|0,0195716805|4|2|11|4|34|6|66
28|0,0198213936|4|2|12|4|34|6|66
29|0,0202817087|3|2|15|5|34|6|66
30|0,0213421825|3|2|16|5|34|6|66
31|0,0213977053|3|2|17|5|34|6|66
32|0,0228186237|3|2|17|5|34|6|66
33|0,0239757565|3|2|18|5|34|6|66
34|0,0248123904|3|1|21|6|34|6|66
35|0,0268819472|3|1|21|6|34|6|66
36|0,0273616958|3|1|21|6|34|6|66
37|0,0298399369|3|1|21|6|34|6|66
38|0,0306913842|3|1|24|6|34|6|66
39|0,0319474078|3|1|25|6|34|6|66
40|0,0327786911|3|1|26|6|34|6|66
41|0,033329595|3|1|26|6|34|6|66
42|0,034385271|2|1|29|7|34|6|66
43|0,0345133997|2|1|30|7|34|6|66
44|0,0350551417|2|1|33|7|34|6|66
45|0,035727628|2|1|36|7|34|12|66
46|0,0366698547|2|1|36|7|34|14|66
47|0,0372614266|2|1|37|7|34|14|66
48|0,0397996488|2|1|38|7|34|14|66
49|0,0399818269|2|1|39|7|34|14|66
50|0,0413816734|2|1|40|7|34|14|66
51|0,0433157125|2|1|44|7|34|14|66
52|0,0449208729|1|1|48|8|34|14|66
53|0,0456891318|1|1|52|8|34|16|66
54|0,0468314144|1|1|54|8|34|16|66
55|0,0469130832|1|1|61|8|34|18|66
56|0,0489317604|1|1|61|8|34|22|66
57|0,0496565732|1|1|62|8|34|22|66
58|0,0519410463|1|1|63|8|34|22|66
59|0,053629938|1|1|64|8|34|22|66
60|0,0545037421|1|1|66|8|34|22|66
61|0,0553509874|1|0|69|9|34|22|66
62|0,05690191|1|0|72|9|34|22|66
63|0,0579562612|1|0|73|9|34|22|66
64|0,0602348868|1|0|74|9|34|22|66
65|0,0616684462|1|0|77|9|34|22|66
66|0,0651785506|1|0|79|9|34|22|66
67|0,0658230229|1|0|82|9|34|28|66
68|0,0674174877|1|0|84|9|34|28|66
69|0,069390033|1|0|85|9|34|28|66
70|0,0698339495|1|0|89|9|34|28|66
71|0,0703809457|1|0|90|9|34|28|66
72|0,0703872521|1|0|91|9|34|28|66
73|0,0718763614|1|0|100|9|34|30|66
74|0,0719874207|1|0|102|9|34|30|66
75|0,0731708928|1|0|111|9|34|34|66
76|0,0761578249|1|0|113|9|34|34|66
77|0,076384971|1|0|114|9|34|34|66
78|0,0772683895|1|0|124|9|34|38|66
79|0,0773570293|1|0|127|9|34|38|66
80|0,0783510827|1|0|129|9|34|40|66
81|0,0791836775|0|0|132|10|34|40|66
82|0,0809569705|0|0|136|10|34|40|66
83|0,0809978519|0|0|145|10|34|46|66
84|0,0811995133|0|0|147|10|34|46|66
85|0,0814986206|0|0|151|10|34|46|66
86|0,0817251707|0|0|152|10|34|46|66
87|0,0820480425|0|0|155|10|34|50|66
88|0,0832266797|0|0|156|10|34|50|66
89|0,0834314019|0|0|158|10|34|50|66
90|0,083938361|0|0|159|10|34|50|66
91|0,0845918807|0|0|162|10|34|52|66
92|0,0852330926|0|0|170|10|34|54|66
93|0,0874707695|0|0|178|10|34|58|66
94|0,0880265134|0|0|181|10|34|58|66
95|0,0901843647|0|0|182|10|34|58|66
96|0,0929611193|0|0|186|10|34|66|66
97|0,0937638462|0|0|191|10|34|66|66
98|0,0993303402|0|0|195|10|34|66|66
99|0,0997084792|0|0|197|10|34|66|66
100|0,1003651642|0|0|200|10|34|66|66
101|0,1005157071|0|0|203|10|34|66|66
102|0,1006043797|0|0|209|10|34|74|66
103|0,1006423712|0|0|212|10|34|74|66
104|0,1011124337|0|0|214|10|34|74|66
105|0,1014412423|0|0|219|10|34|80|66
106|0,1016385138|0|0|228|10|34|86|66
107|0,1038457637|0|0|233|10|34|86|66
108|0,104823706|0|0|235|10|34|86|66
109|0,1051242085|0|0|237|10|34|86|66
110|0,1053232692|0|0|239|10|34|86|66
111|0,1088429877|0|0|249|10|34|94|66
112|0,1096006844|0|0|254|10|34|94|66
113|0,1110913229|0|0|258|10|34|94|66
114|0,1127862874|0|0|263|10|34|94|66
115|0,1135026049|0|0|268|10|34|94|66
116|0,1144444555|0|0|269|10|34|94|66
117|0,1146242161|0|0|276|10|34|98|66
118|0,1152785303|0|0|287|10|34|100|66
119|0,1153687848|0|0|292|10|34|108|66
120|0,1156757652|0|0|297|10|34|108|66
121|0,1158095846|0|0|302|10|34|108|66
122|0,1166708767|0|0|307|10|34|118|66
123|0,118038389|0|0|314|10|34|124|66
124|0,1182374084|0|0|316|10|34|124|66
125|0,1184398466|0|0|321|10|34|124|66
126|0,118933266|0|0|323|10|34|124|66
127|0,1193346165|0|0|334|10|34|128|66
128|0,1199042769|0|0|339|10|34|128|66
129|0,1203428689|0|0|351|10|34|138|66
130|0,1203637625|0|0|355|10|34|138|66
131|0,1208897942|0|0|367|10|34|150|66
132|0,12176024|0|0|368|10|34|150|66
133|0,1218885548|0|0|372|10|34|150|66
134|0,1223109403|0|0|377|10|34|162|66
135|0,1233149353|0|0|383|10|34|164|66
136|0,1245773125|0|0|395|10|34|170|66
137|0,1250305635|0|0|400|10|34|170|66
138|0,1251597993|0|0|405|10|34|170|66
139|0,1264466879|0|0|417|10|34|178|66
140|0,1279002728|0|0|419|10|34|178|66
141|0,128845423|0|0|421|10|34|178|66
142|0,1333682111|0|0|427|10|34|182|66
143|0,1341945781|0|0|434|10|34|192|66
144|0,1350336028|0|0|445|10|34|198|66
145|0,1353160645|0|0|457|10|34|208|66
146|0,1353653011|0|0|460|10|34|208|66
147|0,1353715844|0|0|464|10|34|208|66
148|0,1368375614|0|0|469|10|34|208|66
