Step,Time[ms],homGroupTrue,homGroupFalse,agreeTrue,hetGroup,voteFalse,agreeFalse,voteTrue
0,0,0,0,2038,10,34,1076,66
1,"0,0000060336",0,0,2037,9,34,1076,66
2,"0,0000064122",0,0,2043,8,34,1076,66
3,"0,0000080539",0,0,2038,7,34,1076,66
4,"0,0000089656",0,0,2040,7,34,1076,66
5,"0,00000903",0,0,2035,7,34,1094,66
6,"0,0000111841",0,0,2031,7,34,1094,66
7,"0,0000113957",0,0,2033,8,34,1094,66
8,"0,0000137005",0,0,2032,7,34,1098,66
9,"0,0000142813",0,0,2024,7,34,1116,66
10,"0,0000178735",0,0,2020,7,34,1116,66
11,"0,0000221682",0,0,2030,7,34,1116,66
12,"0,0000224858",0,0,2031,7,34,1116,66
13,"0,0000233869",0,0,2031,6,34,1124,66
14,"0,0000256633",0,0,2040,5,34,1124,66
15,"0,000026989",0,0,2029,4,34,1124,66
16,"0,0000319641",0,0,2024,4,34,1124,66
17,"0,000034157",0,0,2018,5,34,1124,66
18,"0,0000344804",0,0,2023,5,34,1124,66
19,"0,0000368814",0,0,2023,6,34,1124,66
20,"0,0000408097",0,0,2071,6,35,1198,65
21,"0,0000446372",0,0,2075,7,35,1198,65
22,"0,0000462221",0,0,2071,6,35,1196,65
23,"0,0000463111",0,0,2074,5,35,1196,65
24,"0,0000479306",0,0,2066,6,35,1196,65
25,"0,0000495006",0,0,2071,5,35,1196,65
26,"0,000049681",0,0,2108,6,36,1280,64
27,"0,0000499006",0,0,2104,5,36,1280,64
28,"0,0000507598",0,0,2092,6,36,1266,64
29,"0,000051421",0,0,2101,6,36,1266,64
30,"0,0000518481",0,0,2093,7,36,1258,64
31,"0,0000530789",0,0,2089,6,36,1254,64
32,"0,000057277",0,0,2099,7,36,1264,64
33,"0,0000664287",0,0,2094,6,36,1260,64
34,"0,0000667552",0,0,2086,5,36,1254,64
35,"0,0000698398",0,0,2087,6,36,1254,64
36,"0,0000701809",0,0,2092,6,36,1254,64
37,"0,0000705008",0,0,2100,5,36,1254,64
38,"0,0000705624",0,0,2102,4,36,1248,64
39,"0,0000714242",0,0,2100,5,36,1248,64
40,"0,0000718406",0,0,2107,6,36,1254,64
41,"0,0000732144",0,0,2097,5,36,1246,64
42,"0,0000748378",0,0,2107,5,36,1254,64
43,"0,0000817699",0,0,2097,5,36,1246,64
44,"0,0000820199",0,0,2107,5,36,1254,64
45,"0,0000821459",0,0,2097,5,36,1246,64
46,"0,0000864211",0,0,2107,5,36,1254,64
47,"0,0000880629",0,0,2097,5,36,1246,64
48,"0,0000901922",0,0,2107,5,36,1254,64
49,"0,0000920451",0,0,2097,5,36,1246,64
50,"0,0000987722",0,0,2107,5,36,1254,64
51,"0,0000998454",0,0,2097,5,36,1246,64
52,"0,000100436",0,0,2107,5,36,1254,64
53,"0,0001018482",0,0,2097,5,36,1246,64
54,"0,0001031942",0,0,2107,5,36,1254,64
55,"0,0001041069",0,0,2097,5,36,1246,64
56,"0,0001060637",0,0,2107,5,36,1254,64
57,"0,0001073602",0,0,2097,5,36,1246,64
58,"0,0001075931",0,0,2107,5,36,1254,64
59,"0,0001106361",0,0,2097,5,36,1246,64
60,"0,0001139354",0,0,2107,5,36,1254,64
61,"0,0001200421",0,0,2097,5,36,1246,64
62,"0,0001218407",0,0,2107,5,36,1254,64
63,"0,000127139",0,0,2097,5,36,1246,64
64,"0,0001281876",0,0,2107,5,36,1254,64
65,"0,0001286899",0,0,2097,5,36,1246,64
66,"0,0001309847",0,0,2107,5,36,1254,64
67,"0,0001316428",0,0,2097,5,36,1246,64
68,"0,0001316982",0,0,2107,5,36,1254,64
69,"0,0001363073",0,0,2097,5,36,1246,64
70,"0,0001367104",0,0,2107,5,36,1254,64
71,"0,0001381553",0,0,2097,5,36,1246,64
72,"0,0001385303",0,0,2107,5,36,1254,64
73,"0,0001399536",0,0,2097,5,36,1246,64
74,"0,0001439398",0,0,2107,5,36,1254,64
75,"0,0001475745",0,0,2097,5,36,1246,64
76,"0,0001495608",0,0,2107,5,36,1254,64
77,"0,0001523515",0,0,2097,5,36,1246,64
78,"0,0001530634",0,0,2107,5,36,1254,64
79,"0,000153753",0,0,2097,5,36,1246,64
80,"0,0001538494",0,0,2107,5,36,1254,64
81,"0,0001545414",0,0,2097,5,36,1246,64
82,"0,000154784",0,0,2107,5,36,1254,64
83,"0,0001558224",0,0,2097,5,36,1246,64
84,"0,0001648962",0,0,2107,5,36,1254,64
85,"0,0001663352",0,0,2097,5,36,1246,64
86,"0,0001741725",0,0,2107,5,36,1254,64
87,"0,0001759348",0,0,2097,5,36,1246,64
88,"0,0001786802",0,0,2107,5,36,1254,64
89,"0,0001787718",0,0,2097,5,36,1246,64
90,"0,0001845911",0,0,2107,5,36,1254,64
91,"0,0001860446",0,0,2097,5,36,1246,64
92,"0,0001863266",0,0,2107,5,36,1254,64
93,"0,0001961144",0,0,2097,5,36,1246,64
94,"0,0002055883",0,0,2107,5,36,1254,64
95,"0,0002058121",0,0,2097,5,36,1246,64
96,"0,0002107861",0,0,2107,5,36,1254,64
97,"0,0002108709",0,0,2097,5,36,1246,64
98,"0,000212604",0,0,2107,5,36,1254,64
99,"0,0002162046",0,0,2097,5,36,1246,64
