sep=|
Step|Time[ms]|homGroupTrue|homGroupFalse|agreeTrue|hetGroup|voteFalse|agreeFalse|voteTrue
0|0|0|0|2038|10|34|1076|66
1|0,0000153598|0|0|2033|9|34|1090|66
2|0,0000176704|0|0|2034|8|34|1090|66
3|0,0000645212|0|0|2029|7|34|1090|66
4|0,000126306|0|0|2003|8|33|1032|67
5|0,0001750017|0|0|2003|7|33|1034|67
6|0,0001949531|0|0|2005|6|33|1034|67
7|0,0002161033|0|0|1979|6|32|1006|68
8|0,0002504959|0|0|1982|6|32|1006|68
9|0,0002558517|0|0|1982|6|32|1006|68
10|0,0002774299|0|0|1976|6|32|1006|68
11|0,0002826094|0|0|1966|5|32|1006|68
12|0,0002956235|0|0|1961|4|32|1006|68
13|0,0003497005|0|0|1965|5|32|1002|68
14|0,0003704041|0|0|1979|5|33|1078|67
15|0,0004022043|0|0|1977|4|33|1068|67
16|0,0004031869|0|0|1977|4|33|1068|67
17|0,0004138211|0|0|1977|4|33|1068|67
18|0,0005053387|0|0|1977|4|33|1068|67
19|0,0006202367|0|0|1977|4|33|1068|67
20|0,0006577702|0|0|1977|4|33|1068|67
21|0,0006645583|0|0|1977|4|33|1068|67
22|0,0007027215|0|0|1977|4|33|1068|67
23|0,0007467515|0|0|1977|4|33|1068|67
24|0,0007712712|0|0|1977|4|33|1068|67
25|0,0007821945|0|0|1977|4|33|1068|67
26|0,0007845558|0|0|1977|4|33|1068|67
27|0,0008021728|0|0|1977|4|33|1068|67
28|0,0009448998|0|0|1977|4|33|1068|67
29|0,0009543679|0|0|1977|4|33|1068|67
30|0,0009859758|0|0|1984|5|34|1088|66
31|0,0010551428|0|0|1984|5|34|1088|66
32|0,0011074033|0|0|1984|5|34|1088|66
33|0,0011176146|0|0|1984|5|34|1088|66
34|0,0012015527|0|0|1984|5|34|1088|66
35|0,0012393895|0|0|1984|5|34|1088|66
36|0,0012720117|0|0|1984|5|34|1088|66
37|0,0012792303|0|0|1984|5|34|1088|66
38|0,0012802705|0|0|2018|6|35|1168|65
39|0,001306373|0|0|2018|6|35|1168|65
40|0,0013100571|0|0|2018|6|35|1168|65
41|0,0013714638|0|0|2018|6|35|1168|65
42|0,0014075032|0|0|2018|6|35|1168|65
43|0,0014590887|0|0|1989|7|34|1070|66
44|0,0015719937|0|0|1989|7|34|1070|66
45|0,0015983873|0|0|2027|7|35|1196|65
46|0,0016367297|0|0|2045|7|35|1208|65
47|0,0016794778|0|0|2008|7|34|1080|66
48|0,0017089644|0|0|2008|7|34|1080|66
49|0,0017107595|0|0|2008|7|34|1080|66
50|0,001740623|0|0|2008|7|34|1080|66
51|0,001742419|0|0|2008|7|34|1080|66
52|0,0017677783|0|0|2008|7|34|1080|66
53|0,0018069256|0|0|2045|9|35|1208|65
54|0,0018508889|0|0|2045|9|35|1208|65
55|0,0019198422|0|0|2045|9|35|1208|65
56|0,0019955303|0|0|2045|9|35|1208|65
57|0,0020011349|0|0|2045|9|35|1208|65
58|0,0020137385|0|0|2045|9|35|1208|65
59|0,0020186489|0|0|2045|9|35|1208|65
60|0,0020956478|0|0|2045|9|35|1208|65
61|0,0021026653|0|0|2045|9|35|1208|65
62|0,002126868|0|0|2008|9|34|1080|66
63|0,0021729432|0|0|2008|9|34|1080|66
64|0,0022180935|0|0|2008|9|34|1080|66
65|0,0022730801|0|0|2045|9|35|1208|65
66|0,0023258496|0|0|2045|9|35|1208|65
67|0,0023583713|0|0|2045|9|35|1208|65
68|0,0023860146|0|0|2045|9|35|1208|65
69|0,0024107871|0|0|2008|9|34|1080|66
70|0,0024182098|0|0|2008|9|34|1080|66
71|0,0025002288|0|0|2008|9|34|1080|66
72|0,0025058125|0|0|2008|9|34|1080|66
73|0,002513388|0|0|2008|9|34|1080|66
74|0,0025864877|0|0|2045|9|35|1208|65
75|0,0025992749|0|0|2045|9|35|1208|65
76|0,0026152581|0|0|2045|9|35|1208|65
77|0,0028380692|0|0|2045|9|35|1208|65
78|0,0029495489|0|0|2045|9|35|1208|65
79|0,0029795166|0|0|2045|9|35|1208|65
80|0,003001908|0|0|2045|9|35|1208|65
81|0,0030094361|0|0|2045|9|35|1208|65
82|0,003096957|0|0|2008|9|34|1080|66
83|0,0031146034|0|0|2008|9|34|1080|66
84|0,0031254541|0|0|2008|9|34|1080|66
85|0,003197298|0|0|2008|9|34|1080|66
86|0,0032464671|0|0|2008|9|34|1080|66
87|0,0032977222|0|0|2008|9|34|1080|66
88|0,0033137871|0|0|2045|9|35|1208|65
89|0,0033513361|0|0|2045|9|35|1208|65
90|0,0033872066|0|0|2045|9|35|1208|65
91|0,0034275835|0|0|2045|9|35|1208|65
92|0,003550667|0|0|2045|9|35|1208|65
93|0,0035532789|0|0|2045|9|35|1208|65
94|0,0035602871|0|0|2045|9|35|1208|65
95|0,0036093817|0|0|2045|9|35|1208|65
96|0,0036182105|0|0|2045|9|35|1208|65
97|0,0037463186|0|0|2008|9|34|1080|66
98|0,0038716501|0|0|2008|9|34|1080|66
99|0,0038717168|0|0|2008|9|34|1080|66
